"","Age","Market.Value","New.International.Reputation","New.Weak.Foot","New.Skill.Moves","Position","New.Height..CM.","New.Weight.lbs.","New.LS","New.LW","New.LF","NEW.LAM","New.LM","New.LCM","New.LWB","New.LDM","New.LB","New.LCB","New.Crossing","New.Finishing","New.HeadingAccuracy","New.ShortPassing","New.Volleys","New.Dribbling","New.Curve","New.FKAccuracy","New.LongPassing","New.BallControl","New.Acceleration","New.SpringSpeed","New.Agility","New.Reactions","New.Balance","New.ShotPower","New.Jumping","New.Stamina","New.Strength","New.LongShots","New.Aggression","New.Interceptions","New.Positioning","New.Vision","New.Penalties","New.Composure","New.Markiing","New.StandingTackle","New.SlidingTackle","New.GKDiving","New.GKHandling","New.GKKicking","New.GKPositioning","New.GKReflexes"
"1",21,2.63905733,1,3,3,"RM",175,154,71,72,72,72,71,65,57,54,54,49,62,71,62,66,53,73,68,60,54,71,79,76,74,68,81,63,62,71,63,67,47,26,74,70,64,67,47,36,29,14,8,14,10,7
"2",21,4.007333185,1,3,2,"CB",183,176,53,53,54,56,57,62,69,74,72,78,30,22,78,74,33,55,34,33,62,69,69,68,67,76,74,48,81,67,72,27,75,79,25,38,51,63,76,78,77,15,12,11,8,8
"3",22,3.80666249,1,2,2,"LB",180,165,58,62,59,59,65,62,76,72,76,76,76,28,74,77,30,62,57,60,55,73,71,72,66,71,69,50,60,74,71,30,70,69,48,31,40,64,77,79,80,10,12,14,11,9
"4",25,2.63905733,1,3,2,"CDM",178,161,62,62,63,64,63,66,66,71,67,73,41,51,67,70,27,65,33,31,70,68,66,66,70,71,72,57,72,53,67,34,90,72,56,56,37,67,70,75,65,13,9,11,7,7
"5",32,3.33220451,2,4,4,"CAM",180,168,70,74,73,75,73,73,66,66,64,60,74,67,46,77,72,77,78,75,72,78,72,64,74,71,77,74,73,47,62,68,51,62,67,72,70,76,36,67,58,14,7,10,12,8
"6",29,2.772588722,1,3,3,"RB",173,161,61,65,62,63,66,65,73,71,73,71,68,40,58,65,40,66,65,45,66,69,84,72,79,77,75,64,82,75,64,51,77,71,48,46,55,69,68,73,71,11,14,11,14,15
"7",27,4.094344562,2,4,4,"CAM",180,172,73,77,76,78,79,80,74,74,71,66,84,72,53,80,65,75,82,77,81,77,63,65,66,76,73,74,70,93,71,74,66,67,76,84,65,78,57,62,61,8,15,15,16,11
"8",28,2.564949357,1,2,2,"CB",175,163,53,54,52,52,57,57,68,67,69,72,60,21,74,64,32,59,30,34,61,64,62,65,69,67,74,66,88,70,72,20,60,68,33,29,46,66,70,73,71,14,6,8,11,15
"9",29,2.564949357,1,3,2,"RB",185,176,61,62,61,61,65,63,71,69,72,71,69,47,62,59,47,60,52,36,63,63,81,75,63,59,70,64,82,77,71,38,68,76,55,59,50,65,71,73,71,13,9,16,8,14
"10",29,3.044522438,1,3,3,"ST",188,172,73,68,70,66,65,58,51,50,49,50,40,75,70,58,63,72,66,62,31,72,74,63,80,65,61,74,69,70,91,65,45,42,75,49,69,68,42,21,17,16,14,16,11,13
"11",30,3.091042453,1,3,3,"RS",185,183,73,70,71,70,70,67,59,60,56,56,62,75,71,65,69,68,59,43,61,72,64,63,68,71,71,70,74,75,80,65,76,56,78,63,65,72,45,31,25,13,9,7,7,13
